SNPS	REGION	CHR_POS	CHR_ID	P-VALUE	MAPPED_GENE
rs559047	1q43	238590616.0	1	4e-06	KRT18P32 - NA
rs61211515	6p22.1	30133199.0	6	1e-07	TRIM31-AS1 - TRIM40
rs3135002	6p21.32	32700662.0	6	3e-08	HLA-DQB1 - MTCO3P1
rs559047	1q43	238590616.0	1	4e-08	KRT18P32 - NA
rs9260151	6p22.1	29943253.0	6	8e-08	HLA-A
rs61211515	6p22.1	30133199.0	6	2e-06	TRIM31-AS1 - TRIM40
rs3135002	6p21.32	32700662.0	6	7e-08	HLA-DQB1 - MTCO3P1
rs9810233	3q13.11	105292046.0	3	7e-07	NA - ALCAM
rs836589	2q31.1	172628350.0	2	2e-06	PDK1 - RAPGEF4-AS1
rs6931865	6q24.2	143758717.0	6	4e-06	PHACTR2
rs950146	3p22.2	36638607.0	3	4e-06	NBPF21P - RN7SKP227
rs2990510	1q31.3	197051528.0	1	6e-06	F13B
rs9850225	3p12.2	80816613.0	3	5e-06	LINC02050 - NA
rs478222	2p23.3	25078886.0	2	4e-09	EFR3B
rs539514	13q22.2	75752146.0	13	6e-11	LMO7
rs924043	6q27	170063801.0	6	8e-09	
rs550448	7p15.1	28189423.0	7	5e-07	JAZF1-AS1
rs12679857	8q24.12	118965098.0	8	4e-07	TNFRSF11B - RNU6-12P
rs6547853	2p23.2	28423934.0	2	8e-07	FOSL2 - PLB1
rs4084127	11q13.3	69781755.0	11	3e-06	FGF4 - FGF3
rs10786436	10q24.2	98540425.0	10	8e-07	HPSE2
rs10137082	14q11.2	23370824.0	14	6e-06	EFS - IL25
rs2524054	6p21.33	31284619.0	6	2.0000000000000002e-28	RPL3P2 - WASF5P
rs2524054	6p21.33	31284619.0	6	6.000000000000001e-21	RPL3P2 - WASF5P
rs11725853	4q34.1	174721548.0	4	8e-07	GLRA3
rs2410601	8p22	19065067.0	8	4e-06	PSD3
rs4972593	2q31.1	173598126.0	2	4e-08	
rs2304256	19p13.2	10364976.0	19	4e-09	TYK2
rs941576	14q32.2	100839708.0	14	1e-10	MEG3
rs1326934	10q24.1	95524324.0	10	6e-07	SORBS1
rs2523989	6p22.1	30110498.0	6	2e-08	TRIM31, TRIM31-AS1
rs886424	6p21.33	30814225.0	6	3e-14	LINC00243
rs2251396	6p21.33	31396930.0	6	1e-22	HLA-S - MICA
rs2857595	6p21.33	31600692.0	6	2.0000000000000002e-23	NCR3 - UQCRHP1
rs1270942	6p21.33	31951083.0	6	5e-25	CFB
rs1980493	6p21.32	32395438.0	6	2e-20	TSBP1-AS1, BTNL2
rs1015166	6p21.32	32830954.0	6	4e-22	TAP2
rs2153977	1p13.2	113537449.0	1	4e-07	MAGI3
rs2476601	1p13.2	113834946.0	1	7e-20	PTPN22
rs2358994	1p13.2	113886839.0	1	2e-11	AP4B1-AS1, BCL2L15
rs7679475	4q27	121392885.0	4	4e-10	QRFPR - TUBB4BP5
rs11755527	6q15	90248512.0	6	5e-12	BACH2
rs947474	10p15.1	6348488.0	10	4e-09	LINC02649
rs3825932	15q25.1	78943104.0	15	3e-15	CTSH
rs229541	22q12.3	37195278.0	22	2e-08	C1QTNF6
rs416603	16p13.13	11270222.0	16	3e-06	RMI2
rs6679677	1p13.2	113761186.0	1	1e-40	PHTF1 - RSBN1
rs3087243	2q33.2	203874196.0	2	8e-11	CTLA4 - ICOS
rs17696736	12q24.13	112049014.0	12	6e-18	NAA25
rs2292239	12q13.2	56088396.0	12	3e-16	ERBB3
rs2542151	18p11.21	12779948.0	18	9e-08	LINC01882 - PTPN2
rs9272346	6p21.32	32636595.0	6	6.000000000000001e-129	HLA-DQA1
rs2165738	2p23.3	24469940.0	2	4e-06	ITSN2 - NCOA1
rs12251307	10p15.1	6081532.0	10	2e-06	RPL32P23 - RBM17
rs12708716	16p13.13	11086016.0	16	7e-13	CLEC16A
rs1004446	11p15.5	2148913.0	11	4e-09	INS-IGF2
rs2903692	16p13.13	11144926.0	16	7e-11	CLEC16A
rs2476601	1p13.2	113834946.0	1	1e-07	PTPN22
rs2647044	6p21.32	32700133.0	6	1e-16	HLA-DQB1 - MTCO3P1
rs17696736	12q24.13	112049014.0	12	2e-16	NAA25
rs763361	18q22.2	69864406.0	18	1e-08	CD226
rs1445898	5p13.2	35910427.0	5	8e-06	CAPSL
rs2292239	12q13.2	56088396.0	12	2e-20	ERBB3
rs12708716	16p13.13	11086016.0	16	3e-18	CLEC16A
rs2542151	18p11.21	12779948.0	18	1e-14	LINC01882 - PTPN2
rs2476601	1p13.2	113834946.0	1	2e-80	PTPN22
rs6897932	5p13.2	35874473.0	5	8e-06	IL7R
rs9653442	2q11.2	100208905.0	2	5e-06	LINC01104
rs6679677	1p13.2	113761186.0	1	8.000000000000001e-24	PHTF1 - RSBN1
rs3741208	11p15.5	2148544.0	11	2e-07	INS-IGF2, IGF2-AS
rs1990760	2q24.2	162267541.0	2	2e-11	IFIH1
rs1701704	12q13.2	56018703.0	12	9e-10	IKZF4
rs7588550	2q34	212304043.0	2	2e-07	ERBB4
rs12437854	15q26.1	93598604.0	15	2e-09	
rs7583877	2q11.2	99844192.0	2	1e-08	AFF3
rs6027506	20q13.33	60321657.0	20	5e-06	MIR646HG
rs7583877	2q11.2	99844192.0	2	3e-07	AFF3
rs11723864	4q34.1	173653255.0	4	7e-07	HAND2-AS1
rs878889	14q22.3	56754421.0	14	8e-07	NA - OTX2
rs614226	12q24.31	120536707.0	12	2e-06	RNF10
rs13045180	20q11.21	32943738.0	20	9e-06	EFCAB8
rs11698685	20q13.33	60320788.0	20	1e-06	MIR646HG
rs4871297	8q24.13	122693916.0	8	2e-06	LINC01151
rs3757247	6q15	90247744.0	6	1e-06	BACH2
rs8035957	15q14	38546063.0	15	4e-06	RASGRP1
rs9976767	21q22.3	42416281.0	21	2e-08	UBASH3A
rs1983853	1p22.3	84845509.0	1	2e-06	LPAR3
rs10758593	9p24.2	4292083.0	9	3e-06	GLIS3
