Uploaded_variation,Location,SYMBOL,Gene,GO
rs28600853,1:2863195-2863195,-,-,-
rs17407280,1:20693912-20693912,KIF17,ENSG00000117245,"GO:0000166:nucleotide_binding,GO:0001750:photoreceptor_outer_segment,GO:0001917:photoreceptor_inner_segment,GO:0003777:microtubule_motor_activity,GO:0005524:ATP_binding,GO:0005737:cytoplasm,GO:0005815:microtubule_organizing_center,GO:0005829:cytosol,GO:0005856:cytoskeleton,GO:0005871:kinesin_complex,GO:0005874:microtubule,GO:0005929:cilium,GO:0005930:axoneme,GO:0007017:microtubule-based_process,GO:0007018:microtubule-based_movement,GO:0008017:microtubule_binding,GO:0008574:plus-end-directed_microtubule_motor_activity,GO:0015031:protein_transport,GO:0015630:microtubule_cytoskeleton,GO:0016192:vesicle-mediated_transport,GO:0016887:ATP_hydrolysis_activity,GO:0030030:cell_projection_organization,GO:0030425:dendrite,GO:0031503:protein-containing_complex_localization,GO:0032391:photoreceptor_connecting_cilium,GO:0032839:dendrite_cytoplasm,GO:0036064:ciliary_basal_body,GO:0042995:cell_projection,GO:0043005:neuron_projection,GO:0098971:anterograde_dendritic_transport_of_neurotransmitter_receptor_complex,GO:1990075:periciliary_membrane_compartment"
rs10751776,1:24970252-24970252,-,ENSG00000261025,-
rs574384,1:35622060-35622060,PSMB2,ENSG00000126067,"GO:0000502:proteasome_complex,GO:0005515:protein_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0005839:proteasome_core_complex,GO:0010243:response_to_organonitrogen_compound,GO:0010498:proteasomal_protein_catabolic_process,GO:0014070:response_to_organic_cyclic_compound,GO:0016020:membrane,GO:0019774:proteasome_core_complex_-_beta-subunit_complex,GO:0043161:proteasome-mediated_ubiquitin-dependent_protein_catabolic_process,GO:0051603:proteolysis_involved_in_protein_catabolic_process,GO:0070062:extracellular_exosome"
rs386630424,1:37781421-37781423,ACTN4P2,ENSG00000214141,-
rs1569836568,1:37812898-37812909,MTF1,ENSG00000188786,"GO:0000978:RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding,GO:0000981:DNA-binding_transcription_factor_activity_-_RNA_polymerase_II-specific,GO:0000987:cis-regulatory_region_sequence-specific_DNA_binding,GO:0001228:DNA-binding_transcription_activator_activity_-_RNA_polymerase_II-specific,GO:0003677:DNA_binding,GO:0003700:DNA-binding_transcription_factor_activity,GO:0005515:protein_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005737:cytoplasm,GO:0006351:DNA-templated_transcription,GO:0006357:regulation_of_transcription_by_RNA_polymerase_II,GO:0006979:response_to_oxidative_stress,GO:0007417:central_nervous_system_development,GO:0010038:response_to_metal_ion,GO:0035035:histone_acetyltransferase_binding,GO:0045893:positive_regulation_of_DNA-templated_transcription,GO:0045944:positive_regulation_of_transcription_by_RNA_polymerase_II,GO:0046686:response_to_cadmium_ion,GO:0046872:metal_ion_binding,GO:0071294:cellular_response_to_zinc_ion,GO:1990079:cartilage_homeostasis,GO:1990837:sequence-specific_double-stranded_DNA_binding"
rs12742756,1:37881745-37881745,INPP5B,ENSG00000204084,"GO:0001701:in_utero_embryonic_development,GO:0003824:catalytic_activity,GO:0004439:phosphatidylinositol-4-5-bisphosphate_5-phosphatase_activity,GO:0005515:protein_binding,GO:0005737:cytoplasm,GO:0005768:endosome,GO:0005793:endoplasmic_reticulum-Golgi_intermediate_compartment,GO:0005794:Golgi_apparatus,GO:0005829:cytosol,GO:0005886:plasma_membrane,GO:0006629:lipid_metabolic_process,GO:0007165:signal_transduction,GO:0007283:spermatogenesis,GO:0016020:membrane,GO:0016787:hydrolase_activity,GO:0016791:phosphatase_activity,GO:0019637:organophosphate_metabolic_process,GO:0030317:flagellated_sperm_motility,GO:0030670:phagocytic_vesicle_membrane,GO:0031410:cytoplasmic_vesicle,GO:0031901:early_endosome_membrane,GO:0043647:inositol_phosphate_metabolic_process,GO:0046855:inositol_phosphate_dephosphorylation,GO:0046856:phosphatidylinositol_dephosphorylation,GO:0046872:metal_ion_binding,GO:0052658:inositol-1-4-5-trisphosphate_5-phosphatase_activity,GO:0052659:inositol-1-3-4-5-tetrakisphosphate_5-phosphatase_activity,GO:0052745:inositol_phosphate_phosphatase_activity,GO:0070613:regulation_of_protein_processing"
rs34349547,1:37891198-37891198,INPP5B,ENSG00000204084,"GO:0001701:in_utero_embryonic_development,GO:0003824:catalytic_activity,GO:0004439:phosphatidylinositol-4-5-bisphosphate_5-phosphatase_activity,GO:0005515:protein_binding,GO:0005737:cytoplasm,GO:0005768:endosome,GO:0005793:endoplasmic_reticulum-Golgi_intermediate_compartment,GO:0005794:Golgi_apparatus,GO:0005829:cytosol,GO:0005886:plasma_membrane,GO:0006629:lipid_metabolic_process,GO:0007165:signal_transduction,GO:0007283:spermatogenesis,GO:0016020:membrane,GO:0016787:hydrolase_activity,GO:0016791:phosphatase_activity,GO:0019637:organophosphate_metabolic_process,GO:0030317:flagellated_sperm_motility,GO:0030670:phagocytic_vesicle_membrane,GO:0031410:cytoplasmic_vesicle,GO:0031901:early_endosome_membrane,GO:0043647:inositol_phosphate_metabolic_process,GO:0046855:inositol_phosphate_dephosphorylation,GO:0046856:phosphatidylinositol_dephosphorylation,GO:0046872:metal_ion_binding,GO:0052658:inositol-1-4-5-trisphosphate_5-phosphatase_activity,GO:0052659:inositol-1-3-4-5-tetrakisphosphate_5-phosphatase_activity,GO:0052745:inositol_phosphate_phosphatase_activity,GO:0070613:regulation_of_protein_processing"
rs79236527,1:63633409-63633409,PGM1,ENSG00000079739,"GO:0000287:magnesium_ion_binding,GO:0004614:phosphoglucomutase_activity,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0005975:carbohydrate_metabolic_process,GO:0006006:glucose_metabolic_process,GO:0006094:gluconeogenesis,GO:0006096:glycolytic_process,GO:0016853:isomerase_activity,GO:0016868:intramolecular_transferase_activity_-_phosphotransferases,GO:0046872:metal_ion_binding,GO:0070062:extracellular_exosome,GO:0071704:organic_substance_metabolic_process,GO:1904724:tertiary_granule_lumen,GO:1904813:ficolin-1-rich_granule_lumen"
rs2269247,1:63641613-63641613,PGM1,ENSG00000079739,"GO:0000287:magnesium_ion_binding,GO:0004614:phosphoglucomutase_activity,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0005975:carbohydrate_metabolic_process,GO:0006006:glucose_metabolic_process,GO:0006094:gluconeogenesis,GO:0006096:glycolytic_process,GO:0016853:isomerase_activity,GO:0016868:intramolecular_transferase_activity_-_phosphotransferases,GO:0046872:metal_ion_binding,GO:0070062:extracellular_exosome,GO:0071704:organic_substance_metabolic_process,GO:1904724:tertiary_granule_lumen,GO:1904813:ficolin-1-rich_granule_lumen"
